STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,THEFT,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,199,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,366,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,723,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,173,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,1021,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,162,287
ANDHRA PRADESH,GUNTUR,2001,182,54,82,1122,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,2792,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,392,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,368,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,36,478,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,47,297,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,316,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,286,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,27,318,5002
ANDHRA PRADESH,NELLORE,2001,89,46,90,608,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,234,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,278,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,1296,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,296,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,231,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,2057,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,265,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,165,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,630,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,144,2178
ANDHRA PRADESH,WARANGAL,2001,158,53,81,418,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,1116,5696
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,16751,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,24,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,19,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,26,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,26,103
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,31,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,109,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,52,243
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,9,56
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,72,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,25,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,20,140
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,13,48
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,17,127
ARUNACHAL PRADESH,TOTAL,2001,83,33,83,443,2342
ASSAM,BARPETA,2001,64,28,105,187,1778
ASSAM,BONGAIGAON,2001,45,20,36,92,810
ASSAM,C.I.D.,2001,0,0,0,1,8
ASSAM,CACHAR,2001,52,45,104,359,3462
ASSAM,DARRANG,2001,61,48,64,185,1454
ASSAM,DHEMAJI,2001,15,42,31,79,652
ASSAM,DHUBRI,2001,65,43,69,83,1505
ASSAM,DIBRUGARH,2001,110,35,57,325,1565
ASSAM,G.R.P.,2001,13,1,3,135,343
ASSAM,GOALPARA,2001,28,35,43,116,873
ASSAM,GOLAGHAT,2001,53,30,44,211,1166
ASSAM,GUWAHATI CITY,2001,71,37,129,736,4373
ASSAM,HAILAKANDI,2001,18,24,36,92,820
ASSAM,JORHAT,2001,40,42,37,230,1190
ASSAM,KAMRUP,2001,37,21,95,275,2011
ASSAM,KARBI ANGLONG,2001,65,5,38,79,721
ASSAM,KARIMGANJ,2001,32,33,42,114,843
ASSAM,KOKRAJHAR,2001,87,14,41,89,776
ASSAM,LAKHIMPUR,2001,26,64,72,195,1779
ASSAM,MORIGAON,2001,20,23,39,66,731
ASSAM,N.C.HILLS,2001,17,2,8,30,187
ASSAM,NAGAON,2001,95,51,119,491,3202
ASSAM,NALBARI,2001,79,30,53,119,1194
ASSAM,R.P.O.,2001,11,3,2,29,101
ASSAM,SIBSAGAR,2001,59,47,64,343,1643
ASSAM,SONITPUR,2001,86,53,87,356,2309
ASSAM,TINSUKIA,2001,107,41,62,350,1381
ASSAM,TOTAL,2001,1356,817,1480,5367,36877
BIHAR,ARARIA,2001,47,93,79,161,2069
BIHAR,ARWAL,2001,37,0,13,24,591
BIHAR,AURANGABAD,2001,74,16,24,103,1690
BIHAR,BAGAHA,2001,34,25,56,115,912
BIHAR,BANKA,2001,93,34,27,73,1386
BIHAR,BEGUSARAI,2001,124,13,53,265,2628
BIHAR,BETTIAH,2001,66,20,84,265,2796
BIHAR,BHABHUA,2001,41,10,43,184,1368
BIHAR,BHAGALPUR,2001,128,35,66,370,2634
BIHAR,BHOJPUR,2001,135,22,46,214,2806
BIHAR,BUXAR,2001,56,8,34,179,1674
BIHAR,DARBHANGA,2001,53,19,39,103,2572
BIHAR,GAYA,2001,200,25,66,416,3182
BIHAR,GOPALGANJ,2001,107,13,59,153,2098
BIHAR,JAMALPUR RLY.,2001,7,1,4,117,225
BIHAR,JAMUI,2001,67,10,14,81,1046
BIHAR,JEHANABAD,2001,73,6,35,121,1353
BIHAR,KATIHAR,2001,60,51,49,146,1811
BIHAR,KATIHAR RLY.,2001,7,0,3,221,417
BIHAR,KHAGARIA,2001,72,5,34,86,895
BIHAR,KISHANGANJ,2001,25,22,23,57,897
BIHAR,LAKHISARAI,2001,61,10,30,79,754
BIHAR,MADHEPURA,2001,56,11,49,69,1062
BIHAR,MADHUBANI,2001,35,13,36,98,2897
BIHAR,MOTIHARI,2001,114,44,100,271,3881
BIHAR,MUNGER,2001,51,11,45,157,1758
BIHAR,MUZAFFARPUR,2001,153,73,113,538,4212
BIHAR,MUZAFFARPUR RLY.,2001,13,2,5,313,538
BIHAR,NALANDA,2001,208,40,126,412,3479
BIHAR,NAUGACHIA,2001,36,7,29,32,570
BIHAR,NAWADAH,2001,77,15,42,66,1515
BIHAR,PATNA,2001,434,27,197,1568,8583
BIHAR,PATNA RLY.,2001,24,1,3,811,1127
BIHAR,PURNEA,2001,104,39,64,227,2054
BIHAR,ROHTAS,2001,127,25,72,317,2961
BIHAR,SAHARSA,2001,36,12,27,56,1066
BIHAR,SAMASTIPUR,2001,107,19,75,247,2853
BIHAR,SARAN,2001,137,20,65,246,3442
BIHAR,SHEIKHPURA,2001,28,3,16,89,804
BIHAR,SHEOHAR,2001,18,11,13,16,428
BIHAR,SITAMARHI,2001,51,23,34,132,1797
BIHAR,SIWAN,2001,116,4,51,112,1853
BIHAR,SUPAUL,2001,41,30,26,129,1672
BIHAR,VAISHALI,2001,110,20,90,262,4076
BIHAR,TOTAL,2001,3643,888,2159,9701,88432
CHHATTISGARH,BALRAMPUR,2001,13,17,1,21,235
CHHATTISGARH,BILASPUR,2001,99,69,20,690,4353
CHHATTISGARH,BIZAPUR,2001,9,4,0,3,86
CHHATTISGARH,DANTEWARA,2001,83,19,11,64,739
CHHATTISGARH,DHAMTARI,2001,14,22,4,110,996
CHHATTISGARH,DURG,2001,76,144,57,893,6544
CHHATTISGARH,GRP RAIPUR,2001,2,0,0,197,315
CHHATTISGARH,JAGDALPUR,2001,80,59,6,172,1812
CHHATTISGARH,JANJGIR,2001,48,29,9,237,2059
CHHATTISGARH,JASHPUR,2001,37,36,2,54,719
CHHATTISGARH,KANKER,2001,31,42,4,53,760
CHHATTISGARH,KAWARDHA,2001,19,35,1,43,685
CHHATTISGARH,KORBA,2001,33,46,13,305,2112
CHHATTISGARH,KORIYA,2001,35,34,7,153,1644
CHHATTISGARH,MAHASAMUND,2001,18,43,7,146,1185
CHHATTISGARH,RAIGARH,2001,50,53,6,173,1650
CHHATTISGARH,RAIPUR,2001,92,104,38,953,6786
CHHATTISGARH,RAJNANDGAON,2001,36,58,4,231,2650
CHHATTISGARH,SARGUJA,2001,105,145,17,314,3130
CHHATTISGARH,TOTAL,2001,880,959,207,4812,38460
GOA,NORTH GOA,2001,22,4,4,291,1271
GOA,SOUTH GOA,2001,14,8,5,285,1070
GOA,TOTAL,2001,36,12,9,576,2341
GUJARAT,AHMEDABAD COMMR.,2001,90,39,143,3588,13496
GUJARAT,AHMEDABAD RURAL,2001,26,5,27,225,2146
GUJARAT,AHWA-DANG,2001,6,1,2,8,147
GUJARAT,AMRELI,2001,41,2,39,199,2191
GUJARAT,ANAND,2001,28,3,30,427,3879
GUJARAT,BHARUCH,2001,37,4,39,388,3052
GUJARAT,BHAVNAGAR,2001,64,9,60,561,5088
GUJARAT,DAHOD,2001,36,5,15,120,1717
GUJARAT,GANDHINAGAR,2001,25,4,15,585,3478
GUJARAT,HIMATNAGAR,2001,55,17,31,191,4013
GUJARAT,JAMNAGAR,2001,48,20,27,530,3857
GUJARAT,JUNAGADH,2001,56,14,46,547,5186
GUJARAT,KHEDA NORTH,2001,42,11,30,358,3851
GUJARAT,KUTCH,2001,34,2,24,307,3355
GUJARAT,MEHSANA,2001,28,4,58,557,5175
GUJARAT,NARMADA,2001,16,8,9,46,536
GUJARAT,NAVSARI,2001,26,2,6,120,1404
GUJARAT,PALANPUR,2001,52,18,41,420,3887
GUJARAT,PANCHMAHAL,2001,56,5,46,313,2535
GUJARAT,PATAN,2001,24,3,21,220,2447
GUJARAT,PORBANDAR,2001,15,6,5,116,1215
GUJARAT,RAJKOT COMMR.,2001,29,5,46,1245,4774
GUJARAT,RAJKOT RURAL,2001,30,20,40,378,4402
GUJARAT,SURAT COMMR.,2001,98,11,57,1422,3995
GUJARAT,SURAT RURAL,2001,62,26,23,219,1766
GUJARAT,SURENDRANAGAR,2001,38,11,29,204,3113
GUJARAT,VADODARA COMMR.,2001,34,3,35,997,5047
GUJARAT,VADODARA RURAL,2001,71,18,38,210,3137
GUJARAT,VALSAD,2001,44,9,16,432,3109
GUJARAT,W.RLY,2001,15,1,0,901,1421
GUJARAT,TOTAL,2001,1226,286,998,15834,103419
HARYANA,AMBALA,2001,26,11,38,365,2346
HARYANA,BHIWANI,2001,40,10,9,190,1855
HARYANA,FARIDABAD,2001,68,37,78,668,5808
HARYANA,FATEHABAD,2001,18,17,20,141,1214
HARYANA,GRP,2001,24,0,2,169,615
HARYANA,GURGAON,2001,69,32,50,794,3502
HARYANA,HISSAR,2001,45,10,26,438,2830
HARYANA,JHAJJAR,2001,48,21,14,183,1501
HARYANA,JIND,2001,37,21,12,148,1452
HARYANA,KAITHAL,2001,33,16,9,144,1195
HARYANA,KARNAL,2001,42,44,31,468,2383
HARYANA,KURUKSHETRA,2001,20,31,14,343,1753
HARYANA,MAHENDRAGARH,2001,26,11,13,116,1169
HARYANA,PANCHKULA,2001,12,6,18,226,1054
HARYANA,PANIPAT,2001,43,38,19,415,1895
HARYANA,REWARI,2001,21,11,13,155,1214
HARYANA,ROHTAK,2001,57,28,13,365,1856
HARYANA,SIRSA,2001,37,17,18,240,1768
HARYANA,SONIPAT,2001,73,15,26,347,1944
HARYANA,YAMUNANAGAR,2001,42,22,26,202,1405
HARYANA,TOTAL,2001,781,398,449,6117,38759
HIMACHAL PRADESH,BILASPUR,2001,8,5,10,49,1074
HIMACHAL PRADESH,CHAMBA,2001,13,12,17,29,555
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,1,4
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,3,17,747
HIMACHAL PRADESH,KANGRA,2001,24,18,30,108,2035
HIMACHAL PRADESH,KINNAUR,2001,5,6,3,2,147
HIMACHAL PRADESH,KULLU,2001,13,13,7,17,630
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1,1,50
HIMACHAL PRADESH,MANDI,2001,18,16,11,64,1747
HIMACHAL PRADESH,SHIMLA,2001,14,18,13,188,1964
HIMACHAL PRADESH,SIRMAUR,2001,3,10,13,27,703
HIMACHAL PRADESH,SOLAN,2001,11,12,13,59,1130
HIMACHAL PRADESH,UNA,2001,6,9,5,38,713
HIMACHAL PRADESH,TOTAL,2001,119,124,126,600,11499
JAMMU & KASHMIR,ANANTNAG,2001,74,6,59,83,1104
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,14,19,316
JAMMU & KASHMIR,BARAMULLA,2001,144,28,75,156,1533
JAMMU & KASHMIR,BORDER,2001,6,12,10,19,708
JAMMU & KASHMIR,BUDGAM,2001,78,7,40,94,812
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,69
JAMMU & KASHMIR,DODA,2001,104,7,15,18,627
JAMMU & KASHMIR,GANDERBAL,2001,24,5,33,44,395
JAMMU & KASHMIR,JAMMU,2001,27,13,43,479,3607
JAMMU & KASHMIR,KARGIL,2001,0,0,2,6,82
JAMMU & KASHMIR,KATHUA,2001,16,13,11,37,817
JAMMU & KASHMIR,KULGAM,2001,39,6,35,43,635
JAMMU & KASHMIR,KUPWARA,2001,141,6,47,39,1027
JAMMU & KASHMIR,LEH,2001,3,0,1,6,137
JAMMU & KASHMIR,POONCH,2001,100,13,16,67,766
JAMMU & KASHMIR,PULWAMA,2001,46,7,37,144,883
JAMMU & KASHMIR,RAILWAYS,2001,1,0,0,3,17
JAMMU & KASHMIR,RAJOURI,2001,76,17,20,21,965
JAMMU & KASHMIR,RAMBAN,2001,51,3,7,12,537
JAMMU & KASHMIR,REASI,2001,36,7,11,22,389
JAMMU & KASHMIR,SRINAGAR,2001,63,8,115,490,3042
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,15,117,1010
JAMMU & KASHMIR,TOTAL,2001,1075,169,606,1919,19505
JHARKHAND,BOKARO,2001,70,26,38,435,1936
JHARKHAND,CHAIBASA,2001,109,32,17,99,669
JHARKHAND,CHATRA,2001,40,6,10,80,748
JHARKHAND,DEOGHAR,2001,47,22,7,129,1106
JHARKHAND,DHANBAD,2001,97,32,57,546,2916
JHARKHAND,DHANBAD RLY.,2001,11,2,4,209,360
JHARKHAND,DUMKA,2001,63,27,24,66,1016
JHARKHAND,GARHWA,2001,32,11,5,54,788
JHARKHAND,GIRIDIH,2001,63,42,15,111,1918
JHARKHAND,GODDA,2001,61,37,30,70,1030
JHARKHAND,GUMLA,2001,136,29,16,56,658
JHARKHAND,HAZARIBAGH,2001,76,41,42,348,2498
JHARKHAND,JAMSHEDPUR,2001,81,50,60,343,2712
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,0,65,148
JHARKHAND,JAMTARA,2001,22,18,14,68,473
JHARKHAND,KODERMA,2001,21,2,14,77,667
JHARKHAND,LATEHAR,2001,54,12,4,48,380
JHARKHAND,LOHARDAGGA,2001,33,12,14,28,311
